id,true_0,score_0,score_1,score_2,score_3,score_4,score_5,score_6
0,5.0,7.285634e-06,4.0775926e-06,0.00011566696,1.3191792e-06,0.00030513413,0.9995061,6.0451635e-05
1,5.0,3.8809976e-06,2.054161e-06,9.0680325e-05,9.778621e-07,0.00034029045,0.99954337,1.871876e-05
2,5.0,0.0011270641,0.00462726,0.0026704397,0.0008448085,0.012015117,0.9732487,0.005466485
3,5.0,7.594139e-08,7.6202404e-08,9.089999e-06,2.3035119e-08,2.6852924e-06,0.99998546,2.5455206e-06
4,5.0,0.0011802841,0.0056919404,0.024562603,0.0011820458,0.119186305,0.84394956,0.004247341
5,0.0,0.0066723726,0.04329494,0.4462623,0.012194359,0.036759235,0.4520255,0.0027912296
6,4.0,0.0020379126,0.00094195147,0.01373687,0.00032865,0.33435395,0.62359476,0.025005864
7,5.0,4.1446954e-05,9.1336e-05,0.00019752486,5.945898e-05,0.00011331816,0.99940586,9.103217e-05
8,5.0,0.0019154801,0.0029339856,0.011009752,0.0005077773,0.094226606,0.88730276,0.0021036298
9,2.0,0.0106545715,0.008327188,0.13095307,0.0030123573,0.78442633,0.06178788,0.00083864096
10,5.0,0.00019651577,0.00028834483,0.0015757874,0.0005306645,0.0008997423,0.9962071,0.0003018383
11,1.0,0.28739068,0.51059604,0.030796947,0.027951965,0.06270823,0.012056328,0.06849979
12,5.0,0.002895352,0.0024356267,0.016725853,0.0012762654,0.008932079,0.967156,0.0005788319
13,2.0,0.004794129,0.0073315413,0.090578504,0.004494629,0.028934045,0.86090267,0.0029645136
14,5.0,5.2503365e-06,6.3353373e-06,0.00011039603,1.9692611e-06,7.35481e-05,0.9997564,4.6066725e-05
15,2.0,0.0073234495,0.07232739,0.52759147,0.017297575,0.0049096816,0.3555294,0.015021041
16,5.0,2.6627733e-06,8.177364e-06,2.6051432e-05,1.4810811e-05,2.3216233e-05,0.99991727,7.798671e-06
17,0.0,0.4498334,0.21690236,0.14129698,0.020457337,0.1575128,0.008301372,0.0056957644
18,5.0,0.0077088447,0.021301078,0.028843125,0.0017063498,0.103720546,0.8256844,0.011035635
19,2.0,0.018555889,0.019461352,0.30990797,0.007808605,0.5287413,0.11373412,0.0017906979
20,5.0,0.00015845691,0.0016559939,0.0054700878,0.0007633731,0.006567302,0.9828058,0.002578878
21,5.0,6.314087e-05,0.00013974642,0.009129155,8.149261e-05,0.033255868,0.95729,4.0583403e-05
22,5.0,0.0003874598,0.00060687715,0.017836252,0.00030582355,0.026188944,0.9536703,0.0010043657
23,5.0,4.664103e-06,6.419708e-06,0.00044198826,3.8007156e-06,0.00037086947,0.9991714,8.599211e-07
24,5.0,0.0001300883,0.0011930716,0.0025993544,0.00039526683,0.006301098,0.9875667,0.0018144817
25,5.0,2.449871e-05,7.658318e-05,7.6075514e-05,6.980184e-05,0.00016146927,0.9994954,9.617792e-05
26,5.0,0.0022730988,0.0015281617,0.022217426,0.0017238691,0.019296225,0.95254236,0.0004189186
27,5.0,3.6333153e-05,9.870481e-05,0.00010414335,9.080115e-05,0.00011565388,0.99927205,0.00028228355
28,1.0,0.24733542,0.47644305,0.13041693,0.035941657,0.025068253,0.030738762,0.054055944
29,5.0,0.45136163,0.32383138,0.06322242,0.06063603,0.011398865,0.070091315,0.019458449
30,6.0,0.00043952063,0.0012340271,0.0040784595,0.00029723888,0.0038833995,0.39649084,0.59357655
31,5.0,0.010858659,0.028025016,0.044197023,0.01247847,0.02408297,0.8735261,0.006831692
32,5.0,0.0020325242,0.0014555339,0.041076567,0.0005375934,0.12223803,0.83240485,0.00025484606
33,5.0,0.00039857914,0.002137637,0.033410978,0.0011999619,0.00724634,0.95502675,0.0005797732
34,3.0,0.007439666,0.015300301,0.73435736,0.013408191,0.025250556,0.2012467,0.0029973136
35,4.0,0.004834564,0.0031856599,0.03797701,0.000787774,0.847366,0.09822842,0.007620681
36,5.0,0.0006955319,0.0011596687,0.0029550705,0.0017835228,0.0015176254,0.99128705,0.0006014314
