id,true_0,score_0,score_1
0,1.0,1.0672247e-05,0.9999893
1,1.0,4.8654437e-07,0.9999995
2,1.0,9.092598e-06,0.99999094
3,1.0,0.00017037707,0.99982965
4,1.0,1.2750533e-06,0.9999987
5,1.0,4.978929e-07,0.9999995
6,0.0,0.99995804,4.190934e-05
7,0.0,1.0,5.2417747e-11
8,1.0,1.0513409e-05,0.9999895
9,0.0,0.9999999,1.5384227e-07
10,1.0,2.0792884e-06,0.999998
11,1.0,8.8474087e-07,0.99999917
12,1.0,5.334489e-07,0.9999995
13,1.0,3.477754e-06,0.99999654
14,0.0,0.9999949,5.1025386e-06
15,0.0,1.0,3.0365694e-09
16,1.0,5.41952e-06,0.99999464
17,0.0,0.9999999,1.5185114e-07
18,0.0,1.0,2.9437071e-08
19,0.0,1.0,5.715547e-09
20,1.0,1.6497013e-05,0.99998355
21,1.0,2.4042902e-06,0.9999976
22,1.0,5.944009e-05,0.9999405
23,1.0,8.728378e-07,0.99999917
24,0.0,1.0,1.2778682e-08
25,1.0,5.8257665e-06,0.99999416
26,1.0,7.47648e-07,0.9999993
27,1.0,1.91858e-06,0.9999981
28,0.0,0.9999757,2.432983e-05
29,1.0,7.361769e-07,0.9999993
30,1.0,1.2839953e-06,0.9999987
31,1.0,1.826319e-06,0.9999982
32,1.0,8.347877e-06,0.99999166
33,0.0,0.9999989,1.0653818e-06
34,0.0,1.0,1.1222346e-08
35,1.0,1.2689829e-06,0.9999987
36,1.0,2.0093682e-06,0.999998
37,0.0,0.9999776,2.2457465e-05
38,1.0,1.8734826e-07,0.99999976
39,1.0,5.352919e-06,0.99999464
40,1.0,1.712554e-06,0.99999833
41,1.0,1.2033917e-06,0.9999988
42,1.0,1.8735952e-07,0.99999976
43,0.0,0.99999976,1.8645578e-07
44,1.0,1.8611944e-06,0.9999981
45,1.0,3.5215749e-06,0.9999964
46,1.0,0.000103661565,0.9998963
47,1.0,2.6456923e-06,0.9999974
48,1.0,3.045166e-06,0.9999969
49,1.0,8.1938e-07,0.99999917
50,1.0,3.4451856e-05,0.99996555
51,1.0,1.1625715e-06,0.9999988
52,0.0,0.9999988,1.2134814e-06
53,0.0,0.99999607,3.8919866e-06
54,0.0,0.9999982,1.7478937e-06
55,0.0,1.0,1.200142e-11
56,1.0,6.0921643e-06,0.9999939
57,1.0,1.3186946e-05,0.99998677
58,0.0,0.9999913,8.703395e-06
59,1.0,1.042e-05,0.9999896
60,1.0,0.0001951223,0.9998049
61,1.0,1.8150761e-06,0.9999982
62,1.0,5.798242e-06,0.99999416
63,1.0,5.5327805e-06,0.9999945
64,0.0,0.99999917,8.631248e-07
65,0.0,0.99999976,2.621971e-07
66,1.0,1.6519872e-06,0.99999833
67,1.0,3.8689655e-07,0.99999964
68,1.0,3.3543943e-06,0.99999666
69,1.0,8.502431e-06,0.99999154
70,0.0,0.99999905,9.895397e-07
